ID        Sex       BirthYear BY.min    BY.max   
b05065    2         2005      -999      -999     
b05066    2         2005      -999      -999     
a05067    1         2005      -999      -999     
a05068    1         2005      -999      -999     
a05069    1         2005      -999      -999     
a05070    1         2005      -999      -999     
a05071    1         2005      -999      -999     
a05072    1         2005      -999      -999     
b05073    2         2005      -999      -999     
a05074    1         2005      -999      -999     
a05075    1         2005      -999      -999     
a05076    1         2005      -999      -999     
b05077    2         2005      -999      -999     
a05078    1         2005      -999      -999     
b05079    2         2005      -999      -999     
b05080    2         2005      -999      -999     
b05081    2         2005      -999      -999     
a05082    1         2005      -999      -999     
b05083    2         2005      -999      -999     
a05084    1         2005      -999      -999     
a05085    1         2005      -999      -999     
b05086    2         2005      -999      -999     
b05087    2         2005      -999      -999     
b05088    2         2005      -999      -999     
a05089    1         2005      -999      -999     
a05090    1         2005      -999      -999     
a05091    1         2005      -999      -999     
b05092    2         2005      -999      -999     
a05093    1         2005      -999      -999     
a05094    1         2005      -999      -999     
a05095    1         2005      -999      -999     
a05096    1         2005      -999      -999     
b05097    2         2005      -999      -999     
a05098    1         2005      -999      -999     
b05099    2         2005      -999      -999     
b05100    2         2005      -999      -999     
b05101    2         2005      -999      -999     
a05102    1         2005      -999      -999     
a05103    1         2005      -999      -999     
b05104    2         2005      -999      -999     
a05105    1         2005      -999      -999     
a05106    1         2005      -999      -999     
a05107    1         2005      -999      -999     
b05108    2         2005      -999      -999     
a05109    1         2005      -999      -999     
a05110    1         2005      -999      -999     
b05111    2         2005      -999      -999     
a05112    1         2005      -999      -999     
a05113    1         2005      -999      -999     
a05114    1         2005      -999      -999     
a05115    1         2005      -999      -999     
b05116    2         2005      -999      -999     
b05117    2         2005      -999      -999     
a05118    1         2005      -999      -999     
a05119    1         2005      -999      -999     
a05120    1         2005      -999      -999     
a05121    1         2005      -999      -999     
b05122    2         2005      -999      -999     
b05123    2         2005      -999      -999     
a05124    1         2005      -999      -999     
b05125    2         2005      -999      -999     
b05126    2         2005      -999      -999     
b05127    2         2005      -999      -999     
a05128    1         2005      -999      -999     
a05129    1         2005      -999      -999     
a05130    1         2005      -999      -999     
b05131    2         2005      -999      -999     
b05132    2         2005      -999      -999     
a05133    1         2005      -999      -999     
b05134    2         2005      -999      -999     
b05135    2         2005      -999      -999     
a05136    1         2005      -999      -999     
b05137    2         2005      -999      -999     
a05138    1         2005      -999      -999     
a05139    1         2005      -999      -999     
b05140    2         2005      -999      -999     
a05141    1         2005      -999      -999     
b05142    2         2005      -999      -999     
b05143    2         2005      -999      -999     
a05144    1         2005      -999      -999     
a05145    1         2005      -999      -999     
b05146    2         2005      -999      -999     
a05147    1         2005      -999      -999     
b05148    2         2005      -999      -999     
b05149    2         2005      -999      -999     
a05150    1         2005      -999      -999     
a05151    1         2005      -999      -999     
b05152    2         2005      -999      -999     
a05153    1         2005      -999      -999     
b05154    2         2005      -999      -999     
b05155    2         2005      -999      -999     
a05156    1         2005      -999      -999     
a05157    1         2005      -999      -999     
a05158    1         2005      -999      -999     
a05159    1         2005      -999      -999     
a05160    1         2005      -999      -999     
b05161    2         2005      -999      -999     
a05162    1         2005      -999      -999     
a05163    1         2005      -999      -999     
b05164    2         2005      -999      -999     
b05165    2         2005      -999      -999     
a05166    1         2005      -999      -999     
a05167    1         2005      -999      -999     
a05168    1         2005      -999      -999     
b05169    2         2005      -999      -999     
b05170    2         2005      -999      -999     
b05171    2         2005      -999      -999     
a05172    1         2005      -999      -999     
b05173    2         2005      -999      -999     
a05174    1         2005      -999      -999     
b05175    2         2005      -999      -999     
a05176    1         2005      -999      -999     
b05177    2         2005      -999      -999     
b05178    2         2005      -999      -999     
a05179    1         2005      -999      -999     
b05180    2         2005      -999      -999     
b05181    2         2005      -999      -999     
a05182    1         2005      -999      -999     
a05183    1         2005      -999      -999     
a05184    1         2005      -999      -999     
a05185    1         2005      -999      -999     
b05186    2         2005      -999      -999     
b05187    2         2005      -999      -999     
a05188    1         2005      -999      -999     
a05189    1         2005      -999      -999     
b05190    2         2005      -999      -999     
b05191    2         2005      -999      -999     
b05192    2         2005      -999      -999     
